target_name	query	matched_word	matched_type	matched_child_type	source_url	city_url	score
嘉峪关	嘉峪关	嘉峪关	district	CITY	https://you.ctrip.com/place/284.html	https://you.ctrip.com/sight/284.html	295
四平	四平	四平	district	CITY	https://you.ctrip.com/place/556.html	https://you.ctrip.com/sight/556.html	295
固原	固原	固原	district	CITY	https://you.ctrip.com/place/888.html	https://you.ctrip.com/sight/888.html	295
图木舒克	图木舒克	图木舒克	district	CITY	https://you.ctrip.com/place/120079.html	https://you.ctrip.com/sight/120079.html	295
坝上	坝上	坝上	district	SIGHTZONE	https://you.ctrip.com/place/120073.html	https://you.ctrip.com/sight/120073.html	270
塔城	塔城地区	塔城地区	district	CITY	https://you.ctrip.com/place/924.html	https://you.ctrip.com/sight/924.html	275
大兴安岭	大兴安岭	大兴安岭	district	CITY	https://you.ctrip.com/place/396.html	https://you.ctrip.com/sight/396.html	295
大同	大同	大同	district	CITY	https://you.ctrip.com/place/275.html	https://you.ctrip.com/sight/275.html	295
大庆	大庆	大庆	district	CITY	https://you.ctrip.com/place/531.html	https://you.ctrip.com/sight/531.html	295
大理	大理	大理市	district	CITY	https://you.ctrip.com/place/1445616.html	https://you.ctrip.com/sight/1445616.html	265
大连	大连	大连	district	CITY	https://you.ctrip.com/place/4.html	https://you.ctrip.com/sight/4.html	295
天水	天水	天水	district	CITY	https://you.ctrip.com/place/285.html	https://you.ctrip.com/sight/285.html	295
天津	天津	天津	district	CITY	https://you.ctrip.com/place/154.html	https://you.ctrip.com/sight/154.html	295
天门	天门	天门	district	CITY	https://you.ctrip.com/place/987.html	https://you.ctrip.com/sight/987.html	295
太原	太原	太原	district	CITY	https://you.ctrip.com/place/167.html	https://you.ctrip.com/sight/167.html	295
太湖	太湖	太湖龙之梦乐园	district	SIGHTZONE	https://you.ctrip.com/place/2149883.html	https://you.ctrip.com/sight/2149883.html	155
威海	威海	威海	district	CITY	https://you.ctrip.com/place/169.html	https://you.ctrip.com/sight/169.html	295
娄底	娄底	娄底	district	CITY	https://you.ctrip.com/place/866.html	https://you.ctrip.com/sight/866.html	295
孝感	孝感	孝感	district	CITY	https://you.ctrip.com/place/862.html	https://you.ctrip.com/sight/862.html	295
宁德	宁德	宁德	district	CITY	https://you.ctrip.com/place/490.html	https://you.ctrip.com/sight/490.html	295
宁波	宁波	宁波	district	CITY	https://you.ctrip.com/place/83.html	https://you.ctrip.com/sight/83.html	295
安庆	安庆	安庆	district	CITY	https://you.ctrip.com/place/179.html	https://you.ctrip.com/sight/179.html	295
安康	安康	安康	district	CITY	https://you.ctrip.com/place/545.html	https://you.ctrip.com/sight/545.html	295
安阳	安阳	安阳	district	CITY	https://you.ctrip.com/place/412.html	https://you.ctrip.com/sight/412.html	295
安顺	安顺	安顺	district	CITY	https://you.ctrip.com/place/518.html	https://you.ctrip.com/sight/518.html	295
定安	定安	定安	district	CITY	https://you.ctrip.com/place/2021.html	https://you.ctrip.com/sight/2021.html	295
定西	定西	定西	district	CITY	https://you.ctrip.com/place/830.html	https://you.ctrip.com/sight/830.html	295
宜宾	宜宾	宜宾	district	CITY	https://you.ctrip.com/place/278.html	https://you.ctrip.com/sight/278.html	295
宜昌	宜昌	宜昌	district	CITY	https://you.ctrip.com/place/313.html	https://you.ctrip.com/sight/313.html	295
宜春	宜春	宜春	district	CITY	https://you.ctrip.com/place/743.html	https://you.ctrip.com/sight/743.html	295
宝鸡	宝鸡	宝鸡	district	CITY	https://you.ctrip.com/place/422.html	https://you.ctrip.com/sight/422.html	295
宣城	宣城	宣城	district	CITY	https://you.ctrip.com/place/504.html	https://you.ctrip.com/sight/504.html	295
宿州	宿州	宿州	district	CITY	https://you.ctrip.com/place/672.html	https://you.ctrip.com/sight/672.html	295
宿迁	宿迁	宿迁	district	CITY	https://you.ctrip.com/place/492.html	https://you.ctrip.com/sight/492.html	295
屯昌	屯昌	屯昌	district	CITY	https://you.ctrip.com/place/845.html	https://you.ctrip.com/sight/845.html	295
山南	山南	山南	district	CITY	https://you.ctrip.com/place/339.html	https://you.ctrip.com/sight/339.html	295
岳阳	岳阳	岳阳	district	CITY	https://you.ctrip.com/place/287.html	https://you.ctrip.com/sight/287.html	295
崇左	崇左	崇左	district	CITY	https://you.ctrip.com/place/837.html	https://you.ctrip.com/sight/837.html	295
巢湖	巢湖	巢湖	district	CITY	https://you.ctrip.com/place/187.html	https://you.ctrip.com/sight/187.html	295
巴中	巴中	巴中	district	CITY	https://you.ctrip.com/place/703.html	https://you.ctrip.com/sight/703.html	295
巴彦淖尔	巴彦淖尔	巴彦淖尔	district	CITY	https://you.ctrip.com/place/883.html	https://you.ctrip.com/sight/883.html	295
巴音郭楞	巴音郭楞	巴音郭楞	district	CITY	https://you.ctrip.com/place/2512.html	https://you.ctrip.com/sight/2512.html	295
常州	常州	常州	district	CITY	https://you.ctrip.com/place/206.html	https://you.ctrip.com/sight/206.html	295
常德	常德	常德	district	CITY	https://you.ctrip.com/place/417.html	https://you.ctrip.com/sight/417.html	295
平顶山	平顶山	平顶山	district	CITY	https://you.ctrip.com/place/810.html	https://you.ctrip.com/sight/810.html	295
广元	广元	广元	district	CITY	https://you.ctrip.com/place/593.html	https://you.ctrip.com/sight/593.html	295
广安	广安	广安	district	CITY	https://you.ctrip.com/place/693.html	https://you.ctrip.com/sight/693.html	295
广州	广州	广州	district	CITY	https://you.ctrip.com/place/152.html	https://you.ctrip.com/sight/152.html	295
庆阳	庆阳	庆阳	district	CITY	https://you.ctrip.com/place/834.html	https://you.ctrip.com/sight/834.html	295
廊坊	廊坊	廊坊	district	CITY	https://you.ctrip.com/place/582.html	https://you.ctrip.com/sight/582.html	295
延安	延安	延安	district	CITY	https://you.ctrip.com/place/423.html	https://you.ctrip.com/sight/423.html	295
延边	延边	延边	district	CITY	https://you.ctrip.com/place/415.html	https://you.ctrip.com/sight/415.html	295
开封	开封	开封	district	CITY	https://you.ctrip.com/place/165.html	https://you.ctrip.com/sight/165.html	295
张家口	张家口	张家口	district	CITY	https://you.ctrip.com/place/497.html	https://you.ctrip.com/sight/497.html	295
张家界	张家界	张家界	district	CITY	https://you.ctrip.com/place/23.html	https://you.ctrip.com/sight/23.html	295
张掖	张掖	张掖	district	CITY	https://you.ctrip.com/place/283.html	https://you.ctrip.com/sight/283.html	295
徐州	徐州	徐州	district	CITY	https://you.ctrip.com/place/230.html	https://you.ctrip.com/sight/230.html	295
德宏	德宏	德宏	district	CITY	https://you.ctrip.com/place/526.html	https://you.ctrip.com/sight/526.html	295
德州	德州	德州	district	CITY	https://you.ctrip.com/place/603.html	https://you.ctrip.com/sight/603.html	295
德阳	德阳	德阳	district	CITY	https://you.ctrip.com/place/462.html	https://you.ctrip.com/sight/462.html	295
忻州	忻州	忻州	district	CITY	https://you.ctrip.com/place/783.html	https://you.ctrip.com/sight/783.html	295
怀化	怀化	怀化	district	CITY	https://you.ctrip.com/place/655.html	https://you.ctrip.com/sight/655.html	295
怒江	怒江	怒江	district	CITY	https://you.ctrip.com/place/681.html	https://you.ctrip.com/sight/681.html	295
恩施	恩施州	恩施土家族苗族自治州	district	CITY	https://you.ctrip.com/place/487.html	https://you.ctrip.com/sight/487.html	265
惠州	惠州	惠州	district	CITY	https://you.ctrip.com/place/213.html	https://you.ctrip.com/sight/213.html	295
